"If you need to create a full change request, please create a document and add a document link. Make sure share settings are set correctly.",,,,,,,,,
Website Link,Problem,Suggested Solution,Notes (add your name as commenter),Assigned,Change Type,Screenshots,Document Link,Status,Priority
https://launchhpc.com/,Date on the Image under Image Classification Training is from 2023. Need one from Oct 2025,Get an updated image reflecting the Oct 2025 date,,Craig,Image,Slide 1,,Blocked,
https://launchhpc.com/,"We talk about ""bare metal"" which is great, but we also support containerization","I don;t think we should clutter the main text with this addendum, but maybe on the detail page?",<<--Alex wrote this comment,Justin,Content,,,Blocked,
https://launchhpc.com/,We should add containerization,I do not think we are cluttering if we talk about bare metal and containerizaion,<<--Joel wrote this comment,Justin,Content,,,Blocked,
https://launchhpc.com/,"We do CPU efficiency as well, not just GPU","Again, probably not on the main page, but somewhere?",<<--Alex wrote this comment <<--Joel agrees,Justin,Content,,,Blocked,
https://launchhpc.com/product,The images from the DEMO are NOT appropriate,Can we size them a lot smaller and pixelate the heck out of them so they are not readable if examined? Those images were fabricated from whole cloth and have little to no relevance to the real world,"Alex Shmelev - Daniel Reply: Tried a new idea of just using mock components, let me know what context you guys want for them, these are easier for me to do then switching out images all the time. I have them on the home and https://launchhpc.com/product",Craig,Image,,,Review,Medium
launchhpc.com,Missing/blank logo widget?,Remove or populate,See screenshot (Justin),Daniel,Image,Slide 2,,Complete,High
,"""Grant Reporting Automation"" - great for SLED, but Corporations use Charge-backs for the same thing","Add ""Charge back"" or something similar (ask CFO/Lisa for terms)",<<--Alex wrote this comment,Justin,Content,,,Blocked,
https://launchhpc.com/,change partners,"NVIDIA, SMCI, Mirantis, IBM, AWS, Microsoft, TDSynnex, not DELL or HPe",Angela - We can add DELL and HPe in a couple of months,Daniel,Image,,,Complete,High
https://launchhpc.com/,Partner updates,"Ensure that we can add all partners to our website: NVIDIA, SMCI, Mirantis, IBM, AWS, Microsoft, TDSynnex, Oracle",<<--Joel wrote this comment,Daniel,Image,,,Complete,Medium
https://launchhpc.com/,Numbers for optimization gains,"Change from ""20-30%"" to ""57-85%""",(Justin) Multiple entries,Daniel,Content,,,Complete,Medium
https://launchhpc.com/,Text cutoff on right side,Only on my laptop?,(Justin) see screenshot,Daniel,Content,Slide 3,,Complete,Low
https://launchhpc.com/,"""Industries"" link at bottom doesn't work","It doesn't function like the one at the top, it just goes back to the home page.",(Justin),Daniel,Development,,,Complete,High
https://launchhpc.com/,"CTA Links don't all work, the ones that do all go to the same scheduling page","Multiple dead buttons throughout. Why have 2 buttons next to each other that say different things but go to the same place? Ex: ""Schedule a demo"", ""Contact Sales""  If that's deliberate bc it is proven to drive traffic, so be it.","(Justin) | Daniel Reply - There is nothing really to send them too at the moment. I can remove the buttons but it will throw off the sections. Originally the goal was it would have docs / CTAs but since its a preview version sending them to schedule a meeting is the normal approach but happy to take whatever direction everyone thinks is best. - ** I did finish updating links to make sure nothing was broken. (Craig) Joel and I agree that we should, for now, have one single CTA and that is ""Contact"" which schedules a meeting with Chris R.",Justin,Planning,,,Review,Low
https://launchhpc.com/,Naming clarification & people pics,"is the website that we are looking at going to be a layer below the TWG website or will this be the main website - we will need to clarify that LHPC is not the company name : Suggest that we have similar pics of people with titles, etc.",(Joel),Justin,,,,Blocked,
https://launchhpc.com/,We do more than bare-metal,"Change ""bare-metal"" to ""high-performance""","Craig | The header text has been updated please review. If we replace bare-metal from all instances i will say it seems very broad but i think this will also update as product continues to define. Happy to swap the language though, I just want to confirm if its everywhere or a particular place.",Craig,,,,Review,
https://launchhpc.com/,Need to clarify that we aren't just GPU,To do: construct the language that,Craig ,Craig,,,,Review,
https://launchhpc.com/,"We don't have any ""What's new""","Remove the text ""What's new""","Craig | COMPLETED: Removed the 'What's New? LaunchHPC Platform Now Available' badge from the top of the home page hero section. The page now starts directly with the main headline.",Daniel,,,,Complete,
https://launchhpc.com/,"There's just too much, making it hard to follow",,Craig | Craig Peters the whole page or just a section?,Craig,,,,Review,
https://launchhpc.com/,What does launch HPC mean?,"Move the platform value above the fold, and tie the language into the word launch",Craig | Hero changed this morning review.,Craig,,,,Review,
https://launchhpc.com/,"For each partner, who are they?","We need a partner page for each partner, benefits of partnership with TWG, and a way to apply to become a partner.",Craig,Daniel,,,,Up Next,High
https://launchhpc.com/,"For each value prop, the images are distracting and don't add value","Increasing utilization, Maximizing efficiency","Craig | Craig Peters Justin Hood I would recommend you guys discussing what would be valuable, we don't have much to go off of, most is accent to make the page looked balanced but if we cut elements for this reason we wouldn't be left with much, especially considering we don't have product to show.",Justin,,,,Review,
